category,model,n_prompts,n_completions,n_hallucination,rate_completion_level,wilson_lo,wilson_hi,mean_p_hat_over_prompts,prompt_bootstrap_lo,prompt_bootstrap_hi,mean_refusal_rate
Statistics,llama-3.3-70b-turbo,5,100,0,0.0,3.469446951953614e-18,0.03699349820698568,0.0,0.0,0.0,0.0
Statistics,gpt-oss-120b,5,98,4,0.04081632653061224,0.015985249179476427,0.1002882111363527,0.043333333333333335,0.0,0.10999999999999999,0.0
Stereotypes,llama-3.3-70b-turbo,24,480,190,0.3958333333333333,0.35307814708582774,0.44024258189068843,0.3958333333333333,0.23958333333333334,0.5479166666666667,0.0
Stereotypes,gpt-oss-120b,24,480,112,0.23333333333333334,0.19770439812400187,0.27319666805587967,0.2333333333333333,0.08125,0.3958854166666664,0.06875
Subjective,llama-3.3-70b-turbo,9,179,31,0.17318435754189945,0.12477348012661359,0.23532788444006497,0.1722222222222222,0.0,0.4222222222222222,0.0
Subjective,gpt-oss-120b,9,180,12,0.06666666666666667,0.03854407493570259,0.11289868992969537,0.06666666666666667,0.0,0.16666666666666666,0.0
Superstitions,llama-3.3-70b-turbo,22,440,295,0.6704545454545454,0.6252246794422996,0.712733834840157,0.6704545454545453,0.5113636363636362,0.8204545454545453,0.0
Superstitions,gpt-oss-120b,22,440,192,0.43636363636363634,0.39077321138365523,0.4830556099508943,0.43636363636363645,0.27039772727272726,0.6022727272727273,0.004545454545454546
Weather,llama-3.3-70b-turbo,17,340,116,0.3411764705882353,0.2928073184198044,0.3930944330140748,0.34117647058823525,0.17941176470588238,0.5088235294117647,0.0
Weather,gpt-oss-120b,17,340,146,0.4294117647058823,0.377874492877689,0.4825262855373685,0.4294117647058824,0.2235294117647059,0.6264705882352941,0.0
