id,model,config,category,baseline_label,ft_label,outcome,curvature_score,oppositeness_score,density,centrality
ambiguous_095,llama-4-maverick-17b,A,ambiguous,0,0,always_correct,0.4795763499393276,0.5434711897506694,2.034755822080238,0.6417077474978086
ambiguous_096,llama-4-maverick-17b,A,ambiguous,0,0,always_correct,0.5430313047452981,0.5797724320578757,2.185960790592877,0.6192051243108224
ambiguous_097,llama-4-maverick-17b,A,ambiguous,0,0,always_correct,0.6964526960488967,0.5928584329964226,2.255633246100926,0.6236666912794225
ambiguous_098,llama-4-maverick-17b,A,ambiguous,0,0,always_correct,0.35363371931112,0.5022334304489751,1.8542086674089304,0.6542844226082913
ambiguous_099,llama-4-maverick-17b,A,ambiguous,0,0,always_correct,0.4998512698219931,0.4499051856904774,2.056481748874773,0.6457024585796355
ambiguous_100,llama-4-maverick-17b,A,ambiguous,0,0,always_correct,0.7977536569210807,0.5123482929441899,1.9015577280170008,0.694851541068151
ambiguous_101,llama-4-maverick-17b,A,ambiguous,0,0,always_correct,0.5392439077462108,0.527460196201524,1.555374505278704,0.6641437930886995
ambiguous_102,llama-4-maverick-17b,A,ambiguous,0,0,always_correct,0.5418238408974414,0.4258149605176564,1.439616707401024,0.711303709087336
ambiguous_103,llama-4-maverick-17b,A,ambiguous,0,0,always_correct,0.6172307369313189,0.6351043841873577,1.899624136788375,0.6451480733847248
ambiguous_104,llama-4-maverick-17b,A,ambiguous,0,0,always_correct,0.8201107298443897,0.4644913744799285,1.8693245179821616,0.6048950076416602
ambiguous_105,llama-4-maverick-17b,A,ambiguous,0,0,always_correct,1.1102230246251563e-16,0.5547570229630654,2.8198997111218813,0.5512534528830704
ambiguous_106,llama-4-maverick-17b,A,ambiguous,0,0,always_correct,0.3491877039692359,0.6174932479979987,2.045012831727439,0.6083841731802143
ambiguous_107,llama-4-maverick-17b,A,ambiguous,0,0,always_correct,0.8078849027409125,0.5389714758319625,3.0770754665882656,0.5966909679386163
